customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1,56.0,Male,South,Graduate,Salaried,422151.83435433515,383125.5951121089,Business,552.8478732650617,1,70,0.8623851451021574,2019-10-27,1
2,46.0,Female,West,Secondary,Salaried,791060.1116475506,364126.9981467217,Other,450.35647816449625,4,38,0.7133530603124654,2018-07-03,0
3,32.0,Male,North,Post-Graduate,Salaried,775209.3585059588,259012.89919227455,Education,716.7932427186793,0,70,0.6462491620539141,2021-01-27,1
4,60.0,Female,East,Primary,Salaried,,308246.8008135174,Home,678.9011969894922,5,47,0.6516944287264941,2017-04-19,0
5,,Female,South,Graduate,Self-Employed,479203.8748061541,437425.73510592384,Car,731.8576761136235,3,42,0.7787093538773975,2019-12-17,1
6,38.0,Female,South,Secondary,Salaried,554090.2689279306,50083.39037805254,Education,679.8277227325141,1,23,0.27484390506587497,2019-10-11,0
7,56.0,Male,West,Graduate,Salaried,272103.16749491316,197584.1009174566,Education,850.0,3,39,0.5533280264958792,2020-01-23,0
8,36.0,Male,East,Graduate,Salaried,521505.77878782543,134114.68768656388,Other,718.4429702262644,4,38,0.687963796782531,2021-09-05,1
9,40.0,Male,East,Secondary,Salaried,799314.1021158894,306872.9678089186,Home,664.2441817933868,5,61,0.6107743115514945,2018-03-11,0
10,28.0,Female,East,Graduate,Salaried,506700.92415436043,434533.32634761813,Car,726.9890453077493,2,46,0.7829453497163061,2019-05-31,1
11,,Female,East,Primary,Self-Employed,728095.9590401647,160453.8569918389,Education,665.7060162494955,3,76,0.25059019630794604,2018-05-13,0
12,41.0,Other,North,Post-Graduate,Unemployed,561899.3788004378,50000.0,Car,707.434418729119,0,53,0.6834907276494162,2019-03-17,1
13,53.0,Male,East,Post-Graduate,Self-Employed,664811.4056443122,188166.88824632947,Business,602.6015850211332,1,23,0.5738194112693025,2018-01-08,1
14,57.0,Female,South,Primary,Salaried,370461.72203686653,387021.059802611,Education,699.3131838512315,0,75,0.46541260478596036,2019-10-06,0
15,41.0,Female,South,Graduate,Self-Employed,617041.8899267802,330644.48544248194,Education,661.771808317186,3,57,0.43819248756382156,2022-09-28,1
16,20.0,Male,North,Secondary,Self-Employed,100000.0,314227.93717158644,Business,610.1810699705056,5,26,0.634582842941935,2018-09-08,0
17,39.0,Male,South,Graduate,Self-Employed,562620.7683676031,208001.00471882804,Other,850.0,2,67,0.8236967622509854,2022-10-12,1
18,19.0,Female,South,Primary,Salaried,273905.35125697195,58145.38956703205,Education,613.3011704047867,2,26,0.5473231482707807,2021-09-19,0
19,41.0,Female,East,Graduate,Salaried,841198.9033093632,327294.1482436701,Car,700.557137875355,0,69,0.7773062148538441,2018-10-08,1
20,61.0,Female,South,Post-Graduate,Salaried,755481.4705529022,124857.72849480629,Home,635.7753572040995,4,71,0.48150946729077726,2021-10-27,0
21,47.0,Male,North,Graduate,Salaried,693334.1963932163,577614.5100070684,Car,723.76315767039,4,45,0.27167612395522356,2017-12-17,0
22,55.0,Female,East,Primary,Salaried,904201.245431876,335576.08125317737,Other,598.0491892424866,5,45,0.243054015521047,2020-12-12,0
23,19.0,Male,West,Post-Graduate,Salaried,410216.69583503256,162902.75461690733,Home,767.2285459148441,2,73,0.23593405992657432,2020-01-13,0
24,38.0,Male,East,Graduate,Salaried,949472.6395831116,158292.21289170577,Car,850.0,0,38,0.4661050993703689,2019-03-11,1
25,50.0,Male,North,Graduate,Self-Employed,786438.312852077,236058.36900796177,Car,632.8368610319465,0,28,0.43606642558508946,2022-05-30,0
26,29.0,Female,East,Post-Graduate,Salaried,552688.9425562108,214074.71169673753,Business,797.3575090145057,0,39,0.7025559165357986,2017-09-01,0
27,39.0,Female,East,Secondary,Salaried,827124.0294365888,417525.06632949313,Other,,3,61,0.7199750511094061,2021-12-23,0
28,61.0,Female,North,Post-Graduate,Unemployed,378741.29751767317,277962.42546160694,Business,820.4632896860869,5,64,0.23559777818361788,2020-12-17,0
29,42.0,Male,East,Secondary,Unemployed,435097.16769446526,140255.2391637208,Home,850.0,4,69,0.3547862840223105,2019-08-28,0
30,44.0,Female,North,Primary,,478282.0553520599,533566.1027733674,Business,681.3035990633233,4,35,0.39198329511122976,2017-07-08,1
31,59.0,Male,North,Primary,Unemployed,494204.45838719694,257396.2497280334,Other,578.3787135284279,3,73,0.5833283888999665,2020-07-13,1
32,45.0,Female,West,Post-Graduate,Salaried,1166065.4143438484,730651.902790669,Education,775.8467509948872,1,36,0.3011606567348652,2020-10-21,0
33,33.0,Male,South,Post-Graduate,Unemployed,844616.613419065,158766.0238832861,Education,717.9533766355293,3,41,0.29375885358000026,2016-02-15,0
34,32.0,Male,South,Primary,Salaried,548229.1199260337,304467.3441616785,Home,740.1432934222113,5,32,0.8606522224455706,2019-06-13,0
35,64.0,Male,East,Secondary,Salaried,670500.9936713759,296666.4986714793,Education,672.8123966524507,0,31,0.7629420351084466,2018-12-07,0
36,61.0,Male,East,Primary,Salaried,485929.72671726387,50000.0,Business,629.2405745071441,3,29,0.32645843146381925,2022-02-23,0
37,20.0,Female,West,Post-Graduate,Salaried,235879.33989029657,552291.266569096,Home,792.827854477358,0,20,0.48459746553384364,2021-11-01,1
38,54.0,Female,West,Primary,Salaried,654011.4716782845,443596.6691383821,Other,725.5831995644826,5,51,0.44893539948029587,2017-06-26,0
39,24.0,Male,West,Post-Graduate,Self-Employed,217549.00491604465,190420.70257810186,Home,584.515437265302,5,49,0.7537028518457851,2019-12-22,1
40,38.0,Female,North,Post-Graduate,Self-Employed,586273.1907829063,84659.53893162168,Home,754.9500178562315,2,27,0.5571490415346854,2021-10-19,0
41,26.0,Male,West,Primary,Salaried,326336.9922334379,302134.2420705328,Car,738.8934878373201,0,40,0.2894948158954269,2021-06-15,0
42,56.0,Female,West,Secondary,Salaried,997455.1998461615,263004.6549121595,Car,673.9760860541148,4,41,0.7172944442093707,2018-07-01,0
43,35.0,Female,East,Graduate,Self-Employed,782272.5444349444,303350.3422844844,Home,829.5850587393858,3,37,0.47782158475744324,2018-12-04,0
44,21.0,Female,West,Primary,Self-Employed,621150.758254296,278736.60942911345,Education,650.5461470122189,5,21,0.38404697334250293,2022-05-29,0
45,42.0,Male,North,Graduate,Salaried,852741.3355309337,325936.1483958889,Car,686.4810801476127,0,67,0.4628490354145041,2018-03-22,1
46,31.0,Female,North,Primary,Self-Employed,430736.8045068529,467095.854908771,Other,761.4918470374558,1,63,0.5484295945248274,2020-01-28,0
47,26.0,Female,East,Graduate,,708695.8757340186,335215.48076929693,Business,706.1410360264578,2,28,0.4401808614919066,2021-03-23,1
48,43.0,Male,West,Secondary,Salaried,639962.0867437427,92551.67516350883,Car,589.2461476513251,1,22,0.3693340408142305,2020-04-22,0
49,19.0,Male,West,Secondary,Unemployed,652804.016266734,454384.4279068678,Home,714.7039498394744,5,73,0.47895142016278625,2018-05-16,0
50,37.0,Female,North,Primary,Salaried,854470.7000213536,496092.1845232431,Education,666.8488166427813,1,45,0.21342103752492877,2022-08-24,0
51,45.0,Female,West,Post-Graduate,Salaried,746498.4205559604,722808.5101768128,Business,768.559699593301,1,40,0.7407484922674197,2020-11-01,0
52,64.0,Female,West,Graduate,Self-Employed,657744.7325650046,81475.89501406031,Car,712.0974675196112,2,49,0.3196614254973101,2022-04-28,0
53,24.0,Female,West,Post-Graduate,Self-Employed,269022.5127543408,286432.30197254126,Education,707.5606122437913,2,47,0.2307332295414461,2017-08-02,0
54,61.0,Female,South,Post-Graduate,Salaried,407990.7409441073,50000.0,Education,616.1399069024759,2,55,0.6575890850335554,2022-08-01,0
55,25.0,Male,East,Post-Graduate,Salaried,,332972.3734568814,Education,681.5979753668796,2,45,0.7417552901765705,2019-12-13,0
56,64.0,Male,South,Secondary,Salaried,618674.4748553303,167769.95527498412,Home,777.6080875210123,1,53,0.7696803921149902,2017-11-28,0
57,52.0,Male,East,Primary,,373959.2550652152,538516.869223743,Other,637.8770924366903,4,27,0.5454564278624199,2021-05-30,0
58,31.0,Female,North,Primary,Salaried,1082335.3351156842,133807.7544972127,Education,697.3959821529829,4,29,0.3437577292829897,2022-10-26,0
59,34.0,Male,West,Secondary,,903278.8110507146,50000.0,Business,625.0843158680792,2,67,0.7160593740748786,2017-12-26,1
60,53.0,Female,East,Secondary,Unemployed,720423.6640784967,179310.43889462206,Car,605.2925887158665,3,74,0.6897991540080359,2016-10-12,0
61,57.0,Female,South,Primary,Salaried,,50000.0,Business,693.2112764008518,0,62,0.3723895138722213,2021-03-06,1
62,21.0,Female,West,Post-Graduate,Salaried,557558.2060197697,362664.9181760965,Home,713.904093190187,5,69,0.832385429103955,2017-07-23,0
63,19.0,Male,North,Graduate,Salaried,409616.3079955529,50000.0,Home,850.0,3,73,0.2730600206579803,2021-05-18,1
64,23.0,Female,East,Graduate,Self-Employed,615496.1037037725,254268.63717747384,Business,663.5631692923033,5,33,0.8878817677139279,2020-02-22,0
65,59.0,Male,East,Graduate,Salaried,651550.5080285501,50000.0,Other,695.9864585892894,3,59,0.8021734676842251,2017-05-12,1
66,21.0,Female,East,Post-Graduate,Salaried,351647.8849036751,201955.3293195037,Home,599.994118562326,3,74,0.6815290518353526,2021-04-01,0
67,46.0,Male,West,Primary,Self-Employed,666835.2834489795,496506.7233706801,Home,748.9792011925531,4,34,0.857124921795883,2017-12-05,1
68,,Male,South,Secondary,Salaried,568948.1902350503,304097.18371536926,Business,731.8475823482624,0,36,0.7056178178265955,2019-09-18,0
69,43.0,Female,South,Primary,Salaried,,120475.9592552599,Home,819.0715742153143,3,72,0.3333198979210321,2017-07-15,0
70,61.0,Male,East,Post-Graduate,Salaried,427922.99784409965,245319.4766591374,Other,,2,37,0.5095092966789683,2021-06-21,0
71,51.0,Male,North,Secondary,Salaried,517278.8933156711,252702.530806667,Other,728.1125335073826,5,51,0.25005211703214475,2016-02-01,0
72,27.0,Female,North,Post-Graduate,Salaried,977537.5314680381,320894.55187651084,Other,,4,57,0.47276019560168075,2016-02-12,0
73,53.0,Female,South,Graduate,Salaried,711310.6249067517,50000.0,Car,716.3734750312049,5,42,0.719122113816046,2021-03-31,0
